"user_id","payment_month","payment_date","revenue_amount_usd","monthly_mrr","previous_mrr","expansion_mrr","contraction_mrr","is_new_user","is_churned"
"3iITAz/ADjFv3PDTgTjxSg==",2022-03-01 00:00:00.000 +0100,2022-03-20,23.76,23.76,0,0,0,1,0
"4b7l8C489HEJirtoe7xtFg==",2022-03-01 00:00:00.000 +0100,2022-03-27,13.59,27.15,0,0,0,1,0
"4btLP2zvi8eBV0t08fdkKQ==",2022-03-01 00:00:00.000 +0100,2022-03-29,17.79,17.79,0,0,0,1,0
"72brUr/DKItStlTen5pHYg==",2022-03-01 00:00:00.000 +0100,2022-03-23,24.15,24.15,0,0,0,1,1
"75lEf3nSWLSf6GncqhR9gQ==",2022-03-01 00:00:00.000 +0100,2022-03-16,14.1,14.1,0,0,0,1,0
"787jk0VnxM8/sv/0TkvO6A==",2022-03-01 00:00:00.000 +0100,2022-03-08,20.37,48.45,0,0,0,1,0
"7EPlnA7OQ9MhMx+od6FA9g==",2022-03-01 00:00:00.000 +0100,2022-03-04,19.29,158.67,0,0,0,1,0
"7GE5h/3N3lcro3K9T3aujw==",2022-03-01 00:00:00.000 +0100,2022-03-20,14.7,38.52,0,0,0,1,0
"7SeM1pmnTTTXfhI+x3ldng==",2022-03-01 00:00:00.000 +0100,2022-03-09,17.46,34.74,0,0,0,1,0
"99X4aLWWjAIgmlXjrXQIgg==",2022-03-01 00:00:00.000 +0100,2022-03-30,16.98,16.98,0,0,0,1,1
A1qVjssGQ+ZUWZu3Z5DzTA==,2022-03-01 00:00:00.000 +0100,2022-03-08,13.74,45.27,0,0,0,1,0
AN9at3LlvDamqXq8dvHD4w==,2022-03-01 00:00:00.000 +0100,2022-03-07,16.59,42.03,0,0,0,1,0
b3TBQFxyCxxypmPajF+jXw==,2022-03-01 00:00:00.000 +0100,2022-03-31,13.98,13.98,0,0,0,1,0
B4b6v6eUHvAVOeAQk6EEiw==,2022-03-01 00:00:00.000 +0100,2022-03-27,15.3,15.3,0,0,0,1,0
Bcs3CbYx2EpbL9otxlEUmg==,2022-03-01 00:00:00.000 +0100,2022-03-05,16.38,89.22,0,0,0,1,1
CCwTMcGtpirFFuqzSeTyaQ==,2022-03-01 00:00:00.000 +0100,2022-03-16,15.84,15.84,0,0,0,1,0
Fx9+2aYPOHAS3fdXpLQ9Pg==,2022-03-01 00:00:00.000 +0100,2022-03-22,12.54,12.54,0,0,0,1,1
Ghk2iJmzSUW4qLsmJgwOcw==,2022-03-01 00:00:00.000 +0100,2022-03-21,17.13,17.13,0,0,0,1,0
H44DjZG42orzuBXLai7JkA==,2022-03-01 00:00:00.000 +0100,2022-03-22,13.32,13.32,0,0,0,1,1
HJccOn6v5KHqBa8wRu42oQ==,2022-03-01 00:00:00.000 +0100,2022-03-13,27.6,27.6,0,0,0,1,1
HxWcXHURvvtOJkrXAcDxQg==,2022-03-01 00:00:00.000 +0100,2022-03-01,34.11,66.18,0,0,0,1,0
iFFApiXZ2wPdS666BLpKZw==,2022-03-01 00:00:00.000 +0100,2022-03-31,26.85,26.85,0,0,0,1,0
J6WNl39fdxaY8ZtvV8wNkw==,2022-03-01 00:00:00.000 +0100,2022-03-25,16.14,16.14,0,0,0,1,0
Jp0hnV9XOJGVV5jpFhlqgQ==,2022-03-01 00:00:00.000 +0100,2022-03-07,17.46,122.64,0,0,0,1,0
jVhb69DTRT5TSWYEiUrlbg==,2022-03-01 00:00:00.000 +0100,2022-03-26,17.46,17.46,0,0,0,1,0
l3sFUsG2qpcnrEzwRnjvtQ==,2022-03-01 00:00:00.000 +0100,2022-03-01,15.06,38.10,0,0,0,1,0
NMmQVq8bB84KydONJjvTfQ==,2022-03-01 00:00:00.000 +0100,2022-03-13,15.33,15.33,0,0,0,1,1
o55dseByUOl9s5IQCz1kuQ==,2022-03-01 00:00:00.000 +0100,2022-03-02,23.16,23.16,0,0,0,1,0
prNQwR2IPPsvGpFgOpcGaQ==,2022-03-01 00:00:00.000 +0100,2022-03-28,15.66,15.66,0,0,0,1,1
pz7LUOs9i7xgncmHVxQvOw==,2022-03-01 00:00:00.000 +0100,2022-03-22,20.22,36.51,0,0,0,1,0
s27V1tbCAysovKSY1XcdWQ==,2022-03-01 00:00:00.000 +0100,2022-03-30,22.95,22.95,0,0,0,1,0
SyWxmJ+Ha8K2C9UJt8blVA==,2022-03-01 00:00:00.000 +0100,2022-03-09,35.67,55.62,0,0,0,1,0
T+RA0/fgzbUBLF89D4AEDA==,2022-03-01 00:00:00.000 +0100,2022-03-13,16.11,16.11,0,0,0,1,0
Uen3Ap0lnrgWVWJtFCSo7g==,2022-03-01 00:00:00.000 +0100,2022-03-17,20.79,20.79,0,0,0,1,1
V7J42heW8l19wiBJ8UpRyw==,2022-03-01 00:00:00.000 +0100,2022-03-12,15.03,49.80,0,0,0,1,0
Veep00i4vvZbTAVD6GMoiA==,2022-03-01 00:00:00.000 +0100,2022-03-14,12.72,12.72,0,0,0,1,0
W6fRYNhsTNHQkvkoFEUaVQ==,2022-03-01 00:00:00.000 +0100,2022-03-14,19.26,48.33,0,0,0,1,0
